"Store Name","Product Name",UPI,"Product Category","Product Main Image URL","Primary Licensor"
"The Delt Store","Delta Tau Delta Basic Tee",UPI26061856071,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220406-WHITE-3001.jpg?v=1676391868,"DELTA TAU DELTA"
"The Delt Store","Repeat Hoodie",UPI26061825991,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220407-WHITE-18500.jpg?v=1735857436,"DELTA TAU DELTA"
"The Delt Store","Dark Lavender Tee",UPI2606185927,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220408-DARKLAVENDAR-3001.jpg?v=1735857435,"DELTA TAU DELTA"
"The Delt Store","Committed Crewneck",UPI26061800552,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220409-PURPLE-18000.jpg?v=1735857434,"DELTA TAU DELTA"
"The Delt Store","Grey Cardigan",UPI26061807112,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220410-GREYHEATHER-M425-EMB.jpg?v=1735857433,"DELTA TAU DELTA"
"The Delt Store","Black Cardigan",UPI2606182439,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220411-BLACK-M425-EMB.jpg?v=1735857432,"DELTA TAU DELTA"
"The Delt Store","Logo Nylon Pullover",UPI26061800551,"Outerwear > Jackets",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220412-PURPLE-9905-EMB.jpg?v=1735857431,"DELTA TAU DELTA"
"The Delt Store","DTD V-Neck Tee",UPI26061886471,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220413-PURPLERUSH-6240.jpg?v=1735857430,"DELTA TAU DELTA"
"The Delt Store","Committed V-Neck Tee",UPI26061897351,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220414-WHITE-6240.jpg?v=1735857429,"DELTA TAU DELTA"
"The Delt Store","Delta Tau Delta Pride Tee",UPI26061897352,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204135-WHITE-3001.jpg?v=1735857428,"DELTA TAU DELTA"
"The Delt Store","Multicolor Tee",UPI2606184023,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204136-WHITE-3001.jpg?v=1735857427,"DELTA TAU DELTA"
"The Delt Store","Multicolor Crewneck",UPI26061821511,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204137-WHITE-18000.jpg?v=1735857427,"DELTA TAU DELTA"
"The Delt Store","Skeleton Crewneck",UPI26061830471,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204141-BLACK-18000.jpg?v=1735857426,"DELTA TAU DELTA"
"The Delt Store","Frankenstein Tee",UPI2606186263,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204142-YAM-1717.jpg?v=1735857425,"DELTA TAU DELTA"
"The Delt Store","Delta Tau Delta at Heart Tee",UPI26061839431,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204143-WHITE-3001.jpg?v=1735857424,"DELTA TAU DELTA"
"The Delt Store","American Crewneck",UPI26061809991,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204144-NAVY-18000.jpg?v=1735857423,"DELTA TAU DELTA"
"The Delt Store","American Tee",UPI2606180823,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204145-FLOBLUE-1717.jpg?v=1735857422,"DELTA TAU DELTA"
"The Delt Store","Take Pride In Crewneck",UPI26061844871,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204146-WHITE-18000.jpg?v=1735857421,"DELTA TAU DELTA"
"The Delt Store","It's a Good Day Crewneck",UPI26061892231,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204147-BUTTER-1566_1.jpg?v=1735857420,"DELTA TAU DELTA"
"The Delt Store","Many Faces Crewneck",UPI2606186903,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204148-WHITE-1566.jpg?v=1735857419,"DELTA TAU DELTA"
"The Delt Store","Barcode Hoodie",UPI26061867272,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD2204149-BLACK-18500.jpg?v=1735857418,"DELTA TAU DELTA"
"The Delt Store","Purple and Gold Alumnus T-Shirt",UPI2606185623,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220457-TEAMPURPLE-3001_1.jpg?v=1735857417,"DELTA TAU DELTA"
"The Delt Store","Lined Alumnus Tee",UPI26061894631,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220458-MUSTARD-1717.jpg?v=1735857416,"DELTA TAU DELTA"
"The Delt Store","Asphalt Alumnus Tee",UPI2606187767,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220459-ASPHALT-3001.jpg?v=1735857415,"DELTA TAU DELTA"
"The Delt Store","Layered Alumnus Tee",UPI2606189911,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220460-WHITE-3001.jpg?v=1735857414,"DELTA TAU DELTA"
"The Delt Store","Layered Alumnus Polo",UPI26061831271,"Shirts > Short sleeve polo shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220461-WHITE-88181.jpg?v=1735857414,"DELTA TAU DELTA"
"The Delt Store","Lined Alumnus Polo",UPI2606189111,"Shirts > Short sleeve polo shirts",https://cdn.shopify.com/s/files/1/0353/4536/7177/products/DTD220462-CAMPUSPURPLE-88181-EMB.jpg?v=1735857413,"DELTA TAU DELTA"
